Abancay,PE,Apurimac,NULL,NULL,NULL
Arequipa,PE,Arequipa,619156,NULL,NULL
Ayacucho,PE,Ayacucho,105918,NULL,NULL
Cajamarca,PE,Cajamarca,92447,NULL,NULL
Callao,PE,Callao,NULL,NULL,NULL
"Cerro de Pasco",PE,Pasco,NULL,NULL,NULL
Chachapoyas,PE,Province of Amazonas,NULL,NULL,NULL
Chiclayo,PE,Lambayeque,411536,NULL,NULL
Chimbote,PE,Ancash,268979,NULL,NULL
"Chincha Alta",PE,Ica,110016,NULL,NULL
Cuzco,PE,Cuzco,255568,-72,-13.2
Huancavelica,PE,Huancavelica,NULL,NULL,NULL
Huancayo,PE,Junin,258209,NULL,NULL
Huanuco,PE,Huanuco,118814,NULL,NULL
Huaraz,PE,Ancash,NULL,NULL,NULL
Ica,PE,Ica,161406,NULL,NULL
Iquitos,PE,Loreto,274759,-73.2,-3.4
Juliaca,PE,Puno,142576,NULL,NULL
Lima,PE,Lima,6321173,-77.05,-12.0833
Moquegua,PE,Moquegua,NULL,NULL,NULL
Moyobamba,PE,"San Martin",NULL,NULL,NULL
Piura,PE,Piura,277964,NULL,NULL
Pucallpa,PE,Ucayali,172286,NULL,NULL
"Puerto Maldonado",PE,"Madre de Dios",NULL,NULL,NULL
Puno,PE,Puno,91877,NULL,NULL
Sullana,PE,Piura,147361,NULL,NULL
Tacna,PE,Tacna,174336,NULL,NULL
Talara,PE,Piura,82228,NULL,NULL
Trujillo,PE,"La Libertad",509312,NULL,NULL
Tumbes,PE,Tumbes,NULL,NULL,NULL
